Sample,x,y
1,151.8,-37.91172
1,153.18,-40.514671
1,154.56,-42.981583
1,155.94,-45.09177
1,157.32,-47.067417
1,158.7,-47.244125
1,160.08,-45.662666
1,161.46,-42.217461
1,162.84,-39.065308
1,164.22,-36.866417
1,165.6,-35.350079
1,166.98,-34.404774
1,168.36,-33.413738
1,169.74,-31.77577
1,171.12,-29.206472
1,172.5,-25.220449
1,173.88,-17.587605
1,175.26,-15.514065
1,176.64,-18.292137
1,178.02,-17.528133
1,179.4,-13.646152
1,180.78,-7.481854
1,182.16,-1.451472
1,183.54,2.659146
1,184.92,6.132392
1,186.3,9.195499
1,187.68,13.056976
1,189.06,18.194296
1,190.44,24.613518
1,191.82,31.961409
1,193.2,39.820389
1,194.58,46.704208
1,195.96,53.192902
1,197.34,57.715679
1,198.72,61.426914
1,200.1,65.293526
1,201.48,68.339882
1,202.86,71.227295
1,204.24,71.56076
1,205.62,69.759323
1,207,67.039215
1,208.38,62.696857
1,209.76,59.382481
1,211.14,55.631683
1,212.52,52.079605
1,213.9,47.14378
1,215.28,40.213638
1,216.66,31.402405
1,218.04,23.192301
1,219.42,14.715264
1,220.8,6.665253
1,222.18,6.083839
1,223.56,5.443512
1,224.94,4.790695
1,226.32,4.225861
1,227.7,3.821594
1,229.08,3.554565
1,230.46,3.388084
1,231.84,3.28344
1,233.22,3.210556
1,234.6,3.146706
1,235.98,3.065826
1,237.36,2.923615
1,238.74,2.626358
1,240.12,1.911087
1,241.5,-0.309532
1,242.88,-2.864883
1,244.26,-5.636581
1,245.64,-8.957664
1,247.02,-11.032494
1,248.4,-12.293259
1,249.78,-13.273888
1,251.16,-14.073475
1,252.54,-14.667633
1,253.92,-5.830881
1,255.3,2.364085
1,256.68,13.156835
1,258.06,23.804377
1,259.44,31.891409
1,260.82,38.178055
1,262.2,43.248814
1,263.58,49.80687
1,264.96,48.816811
1,266.34,47.602631
1,267.72,46.110344
1,269.1,45.251198
1,270.48,44.933365
1,271.86,44.812096
1,273.24,44.770882
1,274.62,44.766266
1,276,44.777412
1,277.38,44.794792
1,278.76,36.91526
1,280.14,32.556961
1,281.52,20.054489
1,282.9,12.78927
1,284.28,6.028481
1,285.66,5.378143
1,287.04,5.040298
1,288.42,4.841248
1,289.8,4.715744
1,291.18,4.646896
1,292.56,4.643906
1,293.94,4.731689
1,295.32,4.94207
1,296.7,5.309036
1,298.08,5.862389
1,299.46,6.512497
1,300.84,7.103226
1,302.22,7.531647
1,303.6,7.707565
1,304.98,7.625099
1,306.36,18.830311
1,307.74,26.558115
1,309.12,32.92104
1,310.5,37.636631
1,311.88,41.855942
1,313.26,46.114281
1,314.64,49.57019
1,316.02,51.80526
1,317.4,53.940372
1,318.78,56.292927
1,320.16,57.775784
1,321.54,58.36507
1,322.92,57.843033
1,324.3,56.441013
1,325.68,54.445374
1,327.06,52.260654
1,328.44,50.230423
1,329.82,47.696175
1,331.2,44.276947
1,332.58,44.092049
1,333.96,43.987534
1,335.34,43.922974
1,336.72,37.136322
1,338.1,30.883467
1,339.48,25.124182
1,340.86,18.540287
1,342.24,11.062172
1,343.62,10.757507
1,345,10.421852
1,346.38,10.037277
1,347.76,9.576904
1,349.14,8.974838
1,350.52,8.100601
1,351.9,6.749992
1,353.28,4.68692
1,354.66,2.349625
1,356.04,0.615295
1,357.42,-3.750887
1,358.8,-9.734731
1,360.18,-15.814919
1,361.56,-21.149076
1,362.94,-25.803719
1,364.32,-33.49678
1,365.7,-33.606373
1,367.08,-33.688438
1,368.46,-33.751816
1,369.84,-33.798569
1,371.22,-33.832268
1,372.6,-33.859325
1,373.98,-33.884796
1,375.36,-33.911072
1,376.74,-33.941498
1,378.12,-33.98505
1,379.5,-38.52454
1,380.88,-41.425076
1,382.26,-45.405632
1,383.64,-48.810226
1,385.02,-52.276325
1,386.4,-56.033752
1,387.78,-56.125782
1,389.16,-56.128784
1,390.54,-55.780273
1,391.92,-52.959431
1,393.3,-49.568844
1,394.68,-45.779694
1,396.06,-45.255207
1,397.44,-45.129051
1,398.82,-45.168221
1,400.2,-45.321091
1,401.58,-45.573334
1,402.96,-45.930984
1,404.34,-46.382027
1,405.72,-46.855118
1,407.1,-47.258209
1,408.48,-47.49926
1,409.86,-47.530533
1,411.24,-47.327042
1,412.62,-46.900059
1,414,-46.318878
1,415.38,-45.646702
1,416.76,-44.957008
1,418.14,-44.382622
1,419.52,-44.007004
1,420.9,-43.841217
1,422.28,-43.853325
1,423.66,-44.035053
1,425.04,-44.417862
1,426.42,-45.040939
1,427.8,-45.84613
1,429.18,-46.67955
1,430.56,-47.426033
1,431.94,-47.930084
1,433.32,-48.14418
1,434.7,-48.16275
1,436.08,-48.108269
1,437.46,-48.058823
1,438.84,-48.043705
1,440.22,-48.041771
1,441.6,-47.98177
1,442.98,-45.466339
1,444.36,-43.642429
1,445.74,-41.682423
1,447.12,-39.332306
1,448.5,-35.692852
1,449.88,-34.842194
1,451.26,-34.360085
1,452.64,-34.076614
1,454.02,-33.899818
1,455.4,-33.773659
1,456.78,-33.661598
1,458.16,-33.544094
